"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Dez 19","61,06","55,47","62,34","55,35","9,27M","10,68%"
"Nov 19","55,17","54,15","58,74","54,07","9,47M","1,83%"
"Out 19","54,18","54,28","56,92","50,99","11,55M","0,20%"
"Set 19","54,07","55,00","63,38","52,84","13,08M","-1,87%"
"Ago 19","55,10","57,85","57,99","50,52","14,04M","-5,94%"
"Jul 19","58,58","59,27","60,94","54,72","11,80M","0,19%"
"Jun 19","58,47","53,42","59,93","50,60","12,46M","9,29%"
"Mai 19","53,50","63,40","63,93","53,05","16,25M","-16,29%"
"Abr 19","63,91","60,24","66,60","60,13","13,33M","6,27%"
"Mar 19","60,14","57,22","60,73","54,52","11,96M","5,10%"
"Fev 19","57,22","54,01","57,81","51,23","10,55M","6,38%"
"Jan 19","53,79","45,80","55,37","44,35","14,02M","18,45%"
"Dez 18","45,41","52,45","54,55","42,36","12,16M","-10,84%"
"Nov 18","50,93","64,88","65,39","49,41","15,12M","-22,02%"
"Out 18","65,31","73,29","76,90","64,81","13,04M","-10,84%"
"Set 18","73,25","69,89","73,73","66,86","10,09M","4,94%"
"Ago 18","69,80","68,43","70,50","64,43","10,42M","1,51%"
"Jul 18","68,76","73,62","75,27","67,03","10,91M","-7,27%"
"Jun 18","74,15","67,07","74,46","63,59","12,86M","10,61%"
"Mai 18","67,04","68,56","72,83","65,80","15,04M","-2,23%"
"Abr 18","68,57","64,91","69,56","61,81","12,71M","5,59%"
"Mar 18","64,94","61,55","66,55","59,95","12,38M","5,35%"
"Fev 18","61,64","64,76","66,30","58,07","11,99M","-4,77%"
"Jan 18","64,73","60,20","66,66","60,10","12,77M","7,13%"
"Dez 17","60,42","57,42","60,51","55,82","9,49M","5,26%"
"Nov 17","57,40","54,65","59,05","53,89","12,53M","5,55%"
"Out 17","54,38","51,64","54,85","49,10","11,95M","5,24%"
"Set 17","51,67","47,08","52,86","46,56","12,24M","9,40%"
"Ago 17","47,23","50,21","50,43","45,58","17,17M","-5,86%"
"Jul 17","50,17","46,28","50,41","43,65","14,57M","8,97%"
"Jun 17","46,04","48,63","49,17","42,05","15,23M","-4,72%"
"Mai 17","48,32","49,17","52,00","43,76","14,25M","-2,05%"
"Abr 17","49,33","50,69","53,76","48,20","9,72M","-2,51%"
"Mar 17","50,60","53,95","54,44","47,01","12,60M","-6,31%"
"Fev 17","54,01","52,76","54,94","51,22","9,09M","2,27%"
"Jan 17","52,81","54,20","55,24","50,71","10,11M","-1,69%"
"Dez 16","53,72","49,07","54,51","48,98","10,64M","8,66%"
"Nov 16","49,44","46,77","49,90","42,20","13,50M","5,51%"
"Out 16","46,86","48,04","51,93","46,63","10,82M","-2,86%"
"Set 16","48,24","44,85","48,32","42,55","12,37M","7,92%"
"Ago 16","44,70","41,35","48,75","39,19","11,59M","7,45%"
"Jul 16","41,60","48,38","49,35","40,57","9,34M","-13,93%"
"Jun 16","48,33","48,82","51,67","45,83","10,42M","-1,57%"
"Mai 16","49,10","45,90","50,21","43,03","11,20M","6,93%"
"Abr 16","45,92","38,14","46,78","35,24","11,62M","19,77%"
"Mar 16","38,34","33,90","41,90","33,37","10,88M","13,60%"
"Fev 16","33,75","33,83","34,69","26,05","11,47M","0,39%"
"Jan 16","33,62","37,60","38,39","26,19","10,39M","-9,23%"
"Dez 15","37,04","41,73","42,23","33,98","8,70M","-11,07%"
"Nov 15","41,65","46,43","48,36","38,99","7,88M","-10,60%"
"Out 15","46,59","45,38","50,92","42,58","8,31M","3,33%"
"Set 15","45,09","48,10","48,87","43,21","7,97M","-8,35%"
"Ago 15","49,20","46,86","49,33","37,75","8,24M","4,41%"
"Jul 15","47,12","58,98","58,98","46,68","7,17M","-20,77%"
"Jun 15","59,47","60,29","61,82","56,83","6,54M","-1,38%"
"Mai 15","60,30","59,79","62,58","56,51","6,34M","1,12%"
"Abr 15","59,63","47,55","59,85","47,05","7,63M","25,27%"
"Mar 15","47,60","49,45","52,48","42,03","7,69M","-4,34%"
"Fev 15","49,76","47,59","54,24","46,67","8,46M","3,15%"
"Jan 15","48,24","53,76","55,11","43,58","7,31M","-9,44%"
"Dez 14","53,27","66,00","69,54","52,44","6,56M","-19,47%"
"Nov 14","66,15","80,59","80,98","65,69","5,85M","-17,87%"
"Out 14","80,54","91,36","92,96","79,44","7,17M","-11,65%"
"Set 14","91,16","95,81","95,91","90,43","5,56M","-5,00%"
"Ago 14","95,96","97,70","98,67","92,50","4,59M","-2,25%"
"Jul 14","98,17","105,44","106,09","97,60","5,14M","-6,83%"
"Jun 14","105,37","102,92","107,73","101,60","4,12M","2,59%"
"Mai 14","102,71","99,72","104,50","98,74","4,38M","2,98%"
"Abr 14","99,74","101,53","104,99","98,86","4,71M","-1,81%"
"Mar 14","101,58","103,00","105,22","97,37","4,59M","-0,98%"
"Fev 14","102,59","97,40","103,80","96,26","3,93M","5,23%"
"Jan 14","97,49","98,50","98,97","91,24","4,49M","-0,94%"
"Dez 13","98,42","92,71","100,75","92,56","3,66M","6,15%"
"Nov 13","92,72","96,32","96,65","91,77","4,51M","-3,80%"
"Out 13","96,38","102,31","104,38","95,95","5,14M","-5,81%"
"Set 13","102,33","107,07","110,70","101,05","4,58M","-4,94%"
"Ago 13","107,65","105,26","112,24","102,22","5,30M","2,49%"
"Jul 13","105,03","96,58","109,32","96,07","5,38M","8,77%"
"Jun 13","96,56","91,73","99,01","91,26","4,92M","4,99%"
"Mai 13","91,97","93,08","97,17","90,11","5,87M","-1,59%"
"Abr 13","93,46","97,36","97,80","85,61","5,43M","-3,88%"
"Mar 13","97,23","91,76","97,35","89,33","4,03M","5,63%"
"Fev 13","92,05","97,42","98,15","91,57","4,12M","-5,58%"
"Jan 13","97,49","91,78","98,24","91,52","4,38M","6,18%"
"Dez 12","91,82","88,85","91,99","85,21","3,59M","3,27%"
"Nov 12","88,91","86,10","89,80","84,05","5,17M","3,10%"
"Out 12","86,24","92,15","93,66","84,66","5,24M","-6,45%"
"Set 12","92,19","96,38","100,42","88,95","4,34M","-4,44%"
"Ago 12","96,47","88,03","98,29","86,92","5,08M","9,55%"
"Jul 12","88,06","84,65","92,94","82,10","5,27M","3,65%"
"Jun 12","84,96","86,44","87,03","77,28","5,95M","-1,81%"
"Mai 12","86,53","104,89","106,43","85,86","5,81M","-17,49%"
"Abr 12","104,87","103,27","105,49","100,68","4,48M","1,80%"
"Mar 12","103,02","106,82","110,55","102,13","5,74M","-3,78%"
"Fev 12","107,07","98,38","109,95","95,44","5,54M","8,72%"
"Jan 12","98,48","99,70","103,74","97,40","5,41M","-0,35%"